Polylines2D,Position X,Position Y
494,-719.26805825815,235.840047361664
495,-718.96805825815,235.540047361664
496,-718.96805825815,233.640047361663
497,-719.26805825815,233.340047361663
498,-721.868058258149,233.340047361663
499,-722.168058258149,233.640047361663
500,-722.168058258149,235.540047361664
501,-717.618058258149,235.840047361664
502,-715.01805825815,235.840047361664
503,-714.71805825815,235.540047361664
504,-714.71805825815,233.640047361663
505,-715.01805825815,233.340047361663
506,-717.618058258149,233.340047361663
507,-717.918058258149,233.640047361663
508,-717.918058258149,235.540047361664
509,-713.368058258149,235.840047361664
510,-710.76805825815,235.840047361664
511,-710.46805825815,235.540047361664
512,-710.46805825815,233.640047361663
513,-710.76805825815,233.340047361663
514,-713.368058258149,233.340047361663
515,-713.668058258149,233.640047361663
516,-713.668058258149,235.540047361664
517,-709.118058258149,235.840047361664
518,-706.51805825815,235.840047361664
519,-706.21805825815,235.540047361664
520,-706.21805825815,233.640047361663
521,-706.51805825815,233.340047361663
522,-709.118058258149,233.340047361663
523,-709.418058258149,233.640047361663
524,-709.418058258149,235.540047361664
525,-704.868058258149,235.840047361664
526,-702.26805825815,235.840047361664
527,-701.96805825815,235.540047361664
528,-701.96805825815,233.640047361663
529,-702.26805825815,233.340047361663
530,-704.868058258149,233.340047361663
531,-705.168058258149,233.640047361663
532,-705.168058258149,235.540047361664
533,-700.618058258149,235.840047361664
534,-698.01805825815,235.840047361664
535,-697.71805825815,235.540047361664
536,-697.71805825815,233.640047361663
537,-698.01805825815,233.340047361663
538,-700.618058258149,233.340047361663
539,-700.918058258149,233.640047361663
540,-700.918058258149,235.540047361664
541,-696.368058258149,235.840047361664
542,-693.76805825815,235.840047361664
543,-693.46805825815,235.540047361664
544,-693.46805825815,233.640047361663
545,-693.76805825815,233.340047361663
546,-696.368058258149,233.340047361663
547,-696.668058258149,233.640047361663
548,-696.668058258149,235.540047361664
549,-692.118058258149,235.840047361664
550,-689.51805825815,235.840047361664
551,-689.21805825815,235.540047361664
552,-689.21805825815,233.640047361663
553,-689.51805825815,233.340047361663
554,-692.118058258149,233.340047361663
555,-692.418058258149,233.640047361663
556,-692.418058258149,235.540047361664
557,-687.868058258149,235.840047361664
558,-685.26805825815,235.840047361664
559,-684.96805825815,235.540047361664
560,-684.96805825815,233.640047361663
561,-685.26805825815,233.340047361663
562,-687.868058258149,233.340047361663
563,-688.168058258149,233.640047361663
564,-688.168058258149,235.540047361664
565,-683.618058258149,235.840047361664
566,-681.01805825815,235.840047361664
567,-680.71805825815,235.540047361664
568,-680.71805825815,233.640047361663
569,-681.01805825815,233.340047361663
570,-683.618058258149,233.340047361663
571,-683.918058258149,233.640047361663
572,-683.918058258149,235.540047361664
573,-679.368058258149,235.840047361664
574,-676.76805825815,235.840047361664
575,-676.46805825815,235.540047361664
576,-676.46805825815,233.640047361663
577,-676.76805825815,233.340047361663
578,-679.368058258149,233.340047361663
579,-679.668058258149,233.640047361663
580,-679.668058258149,235.540047361664
581,-675.118058258149,235.840047361664
582,-672.51805825815,235.840047361664
583,-672.21805825815,235.540047361664
584,-672.21805825815,233.640047361663
585,-672.51805825815,233.340047361663
586,-675.118058258149,233.340047361663
587,-675.418058258149,233.640047361663
588,-675.418058258149,235.540047361664
589,-670.868058258149,235.840047361664
590,-668.26805825815,235.840047361664
591,-667.96805825815,235.540047361664
592,-667.96805825815,233.640047361663
593,-668.26805825815,233.340047361663
594,-670.868058258149,233.340047361663
595,-671.168058258149,233.640047361663
596,-671.168058258149,235.540047361664
597,-666.618058258149,235.840047361664
598,-664.01805825815,235.840047361664
599,-663.71805825815,235.540047361664
600,-663.71805825815,233.640047361663
601,-664.01805825815,233.340047361663
602,-666.618058258149,233.340047361663
603,-666.918058258149,233.640047361663
604,-666.918058258149,235.540047361664
605,-666.618058258149,232.290047361664
606,-664.01805825815,232.290047361664
607,-663.71805825815,231.990047361664
608,-663.71805825815,230.090047361663
609,-664.01805825815,229.790047361663
610,-666.618058258149,229.790047361663
611,-666.918058258149,230.090047361663
612,-666.918058258149,231.990047361664
613,-670.868058258149,232.290047361664
614,-668.26805825815,232.290047361664
615,-667.96805825815,231.990047361664
616,-667.96805825815,230.090047361663
617,-668.26805825815,229.790047361663
618,-670.868058258149,229.790047361663
619,-671.168058258149,230.090047361663
620,-671.168058258149,231.990047361664
621,-675.118058258149,232.290047361664
622,-672.51805825815,232.290047361664
623,-672.21805825815,231.990047361664
624,-672.21805825815,230.090047361663
625,-672.51805825815,229.790047361663
626,-675.118058258149,229.790047361663
627,-675.418058258149,230.090047361663
628,-675.418058258149,231.990047361664
629,-679.368058258149,232.290047361664
630,-676.76805825815,232.290047361664
631,-676.46805825815,231.990047361664
632,-676.46805825815,230.090047361663
633,-676.76805825815,229.790047361663
